Gene	Ensembl ID	Chromosome	Start	Stop	Strand	Description	Log2FC	P-value	Adj P-value
ID3.1	ENSG00000117318.9	1	23557926	23559501	-	inhibitor of DNA binding 3	5.34003662166687	2.92608560317532e-53	7.99374006568788e-50
MAGEA4	ENSG00000147381.12	X	151912495	151925171	+	MAGE family member A4	5.24961785571916	0.000334444412242958	0.424615228440929
ID1	ENSG00000125968.9	20	31605283	31606515	+	inhibitor of DNA binding 1	4.65548135048373	8.01182320879233e-07	0.000519914972402011
PDPR2P	ENSG00000214331.9	16	74332567	74360859	-		4.40463896122941	1.34409661113356e-07	0.000107351491648377
ADAMTS12	ENSG00000151388.11	5	33523535	33892019	-	ADAM metallopeptidase with thrombospondin type 1 motif 12	4.02322645067499	2.25132007167777e-10	2.3279748587209e-07
SERPINA3	ENSG00000196136.18	14	94612384	94624055	+	serpin family A member 3	2.53859706055318	1.42434670761491e-09	9.38706059395779e-07
ID2	ENSG00000115738.10	2	8678845	8684461	+	inhibitor of DNA binding 2	2.37347959030694	2.6032089774325e-55	1.07143894352447e-51
COL9A3	ENSG00000092758.18	20	62816244	62841159	+	collagen type IX alpha 3 chain	2.09219719227976	8.33746601867083e-11	4.37772785043857e-08
CXCL5	ENSG00000163735.7	4	73995642	73998677	-	C-X-C motif chemokine ligand 5	1.97540835379393	8.22270463962272e-26	1.12110704400799e-22
SCN11A	ENSG00000168356.13	3	38845764	39052157	-	sodium voltage-gated channel alpha subunit 11	1.9424722568045	0.00293934767060982	0.922213542475713
TGFA	ENSG00000163235.16	2	70447284	70554193	-	transforming growth factor alpha	1.928548473959	2.49405075879576e-11	2.23437757598984e-08
ESRRG	ENSG00000196482.18	1	216503246	217137755	-	estrogen related receptor gamma	1.86151006369159	1.25126251779554e-05	0.000983363951798077
SKIL	ENSG00000136603.15	3	170357342	170396835	+	SKI like proto-oncogene	1.79667960119538	6.49304553883561e-18	3.40472775345731e-15
PMEPA1	ENSG00000124225.16	20	57648392	57711536	-	prostate transmembrane protein, androgen induced 1	1.79364499287362	1.0846079143024e-29	2.21817812873617e-26
IGFBP5	ENSG00000115461.5	2	216672105	216695549	-	insulin like growth factor binding protein 5	1.74332827019616	3.67155541786303e-13	7.20244147334214e-10
CXCL3	ENSG00000163734.4	4	74036589	74038807	-	C-X-C motif chemokine ligand 3	1.72281672239952	1.41384548855389e-09	8.88819430035942e-07
LGI4	ENSG00000153902.14	19	35124513	35142451	-	leucine rich repeat LGI family member 4	1.69140896716683	5.0527250101036e-05	0.0101857729301667
SLC38A3	ENSG00000188338.15	3	50205246	50221486	+	solute carrier family 38 member 3	1.68949731159601	7.71470860530367e-05	0.0140630307515884
UBD.6	ENSG00000213886.4	6	29555515	29559732	-	ubiquitin D	1.67798583209299	8.52262168988844e-09	1.25999847276189e-06
CXCL2	ENSG00000081041.9	4	74097040	74099196	-	C-X-C motif chemokine ligand 2	1.66646412563751	1.39169287712331e-09	2.35404983571247e-07
OR2I1P.6	ENSG00000237988.6	6	29550407	29557773	+	olfactory receptor family 2 subfamily I member 1 pseudogene	1.63345690100854	0.000157617050679535	0.0082950729789407
TGFBI	ENSG00000120708.17	5	136028988	136063818	+	transforming growth factor beta induced	1.59264058829109	3.64725644027743e-68	1.11887406782978e-64
FRZB	ENSG00000162998.5	2	182833275	182866637	-	frizzled related protein	1.59202001362829	2.41550225294105e-12	4.08033941106943e-09
IFITM10.1	ENSG00000244242.2	11	1732406	1750595	-	interferon induced transmembrane protein 10	1.55734520499955	1.09976728273601e-05	0.00294447637977504
CACNA1F	ENSG00000102001.13	X	49205063	49233371	-	calcium voltage-gated channel subunit alpha1 F	1.55170367039267	0.00311021153982333	0.935957318593981
PYGM	ENSG00000068976.14	11	64746389	64759974	-	glycogen phosphorylase, muscle associated	1.54192583749961	0.00139539432524112	0.168905235359746
SMAD6	ENSG00000137834.15	15	66702236	66782849	+	SMAD family member 6	1.45894724606329	0.000260714226800413	0.039436607959717
PTGIS	ENSG00000124212.6	20	49503874	49568137	-	prostaglandin I2 synthase	1.45030612515041	3.1433239599565e-06	0.000304803133432191
ADAMTS3	ENSG00000156140.11	4	72280969	72569221	-	ADAM metallopeptidase with thrombospondin type 1 motif 3	1.39797551934774	0.00253768287174139	0.191470533959069
ANOS1	ENSG00000011201.12	X	8528874	8732137	-	anosmin 1	1.39525882563867	0.00325139403961579	0.787713705596647
CXCL6	ENSG00000124875.10	4	73836640	73849064	+	C-X-C motif chemokine ligand 6	1.38339791276236	5.4960701710648e-10	1.01120998893792e-07
ACAN	ENSG00000157766.19	15	88803436	88875353	+	aggrecan	1.3576090138839	3.05703838187626e-14	1.37403354829066e-11
TSC22D1	ENSG00000102804.16	13	44432143	44577147	-	TSC22 domain family member 1	1.35752357436247	3.53783953249646e-14	1.4969766723316e-11
SUPT20HL2	ENSG00000223611.7	X	24308210	24314069	-	SUPT20H like 2	1.34906524900158	0.00157084381743341	0.14397259637531
TCN1	ENSG00000134827.8	11	59852800	59866489	-	transcobalamin 1	1.32385501028721	1.56109362993237e-25	1.92756308551977e-22
EHF	ENSG00000135373.13	11	34621093	34663288	+	ETS homologous factor	1.32082647839296	0.000246096687191645	0.229190206735822
KRT6B	ENSG00000185479.6	12	52446651	52452146	-	keratin 6B	1.30446930715095	5.69590649665276e-08	7.73076274190674e-06
SCRG1	ENSG00000164106.8	4	173384701	173406380	-	stimulator of chondrogenesis 1	1.27449688194041	2.14317084282712e-11	1.3983486690742e-08
FGFRL1	ENSG00000127418.15	4	1009936	1026898	+	fibroblast growth factor receptor like 1	1.27296626009525	8.77979340532249e-13	3.68313399018084e-10
LSAMP	ENSG00000185565.13	3	115802374	117139389	-	limbic system associated membrane protein	1.22505524723578	3.18220551155393e-19	3.3767529323602e-16
