Gene	Ensembl ID	Chromosome	Start	Stop	Strand	Description	Log2FC	P-value	Adj P-value
SLC17A6	ENSG00000091664.9	11	22338381	22379503	+	solute carrier family 17 member 6	-3.27450716813698	2.8730405011624e-05	0.00780505366506906
IL24	ENSG00000162892.16	1	206897443	206904139	+	interleukin 24	-2.20429321755451	1.05853818033884e-85	1.20797460332889e-81
SLAMF7	ENSG00000026751.17	1	160739057	160754821	+	SLAM family member 7	-1.76343115337271	1.53110471474942e-06	0.000500810681384553
FLACC1	ENSG00000155749.13	2	201288271	201357398	-	flagellum associated containing coiled-coil domains 1	-1.61004535795562	2.21558805446694e-05	0.00480070671529227
CXCL11	ENSG00000169248.13	4	76033682	76041415	-	C-X-C motif chemokine ligand 11	-1.47152519397249	9.23216037417138e-05	0.0148819594619426
HDAC9	ENSG00000048052.25	7	18086949	19002416	+	histone deacetylase 9	-1.42098535289111	1.53331110449297e-07	1.86287539789998e-05
SLCO4C1	ENSG00000173930.9	5	102233986	102296284	-	solute carrier organic anion transporter family member 4C1	-1.27815912967037	6.3288517188757e-05	0.0112804837041574
HRH2	ENSG00000113749.8	5	175658030	175710756	+	histamine receptor H2	-1.2548511804366	7.88595532342417e-05	0.0142739601576103
PADI1	ENSG00000281459.3	HG2095_PATCH	47642	88521	+	peptidyl arginine deiminase 1	-1.1975697939607	0.000254699945771744	0.0338319005406394
PADI1.1	ENSG00000142623.11	1	17205128	17246007	+	peptidyl arginine deiminase 1	-1.1975697939607	0.000254699945771744	0.0338319005406394
IL18BP	ENSG00000137496.19	11	71998613	72007315	+	interleukin 18 binding protein	-1.19592493487787	8.95641642014703e-05	0.0157135808726392
LGALS9	ENSG00000168961.17	17	27629798	27649560	+	galectin 9	-1.1902481587579	0.000248800982137886	0.0370837181216573
CD274	ENSG00000120217.14	9	5450503	5470566	+	CD274 molecule	-1.17667486936069	3.66810008946451e-08	1.17223590749645e-05
ACSS2	ENSG00000131069.20	20	34872146	34927962	+	acyl-CoA synthetase short chain family member 2	-1.17405516431326	1.49280707611927e-11	4.43456276992148e-09
CPNE7	ENSG00000178773.15	16	89575758	89597246	+	copine 7	-1.14405936082048	3.05118782087566e-11	8.7071371781374e-09
HMGCS1	ENSG00000112972.15	5	43287470	43313512	-	3-hydroxy-3-methylglutaryl-CoA synthase 1	-1.13140955444302	2.57185342408759e-26	2.05888994130696e-23
CEACAM1	ENSG00000079385.23	19	42507304	42561234	-	CEA cell adhesion molecule 1	-1.12499246452441	4.37983868376705e-19	3.41276071227705e-16
IDO1	ENSG00000131203.13	8	39902275	39928790	+	indoleamine 2,3-dioxygenase 1	-1.10829241614253	0.000386922357060026	0.02949098832325
